"relative_path","size_bytes","extension","publish_status","github_path","reason"
"data\analysis_ready\longitudinal_replicate_weights\2023\lgtrw2023yr4.parquet","10459794",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2024\lgtrw2024yr2.parquet","45025470",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2024\lgtrw2024yr3.parquet","26195593",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2024\lgtrw2024yr4.parquet","7537858",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2025\lgtrw2025yr2.parquet","40399748",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2025\lgtrw2025yr3.parquet","23422352",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_replicate_weights\2025\lgtrw2025yr4.parquet","12617236",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2019\lgtwgt2019.parquet","389159",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2020\lgtwgt2020yr2.parquet","284903",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2020\lgtwgt2020yr3.parquet","258994",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2021\lgtwgt2021yr2.parquet","410274",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2021\lgtwgt2021yr3.parquet","202623",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2021\lgtwgt2021yr4.parquet","177794",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2022\lgtwgt2022yr2.parquet","184045",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2022\lgtwgt2022yr3.parquet","82633",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2023\lgtwgt2023yr2.parquet","308012",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2023\lgtwgt2023yr3.parquet","128769",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2023\lgtwgt2023yr4.parquet","61893",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2024\lgtwgt2024yr2.parquet","267252",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2024\lgtwgt2024yr3.parquet","156090",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2024\lgtwgt2024yr4.parquet","45524",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2025\lgtwgt2025yr2.parquet","242012",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2025\lgtwgt2025yr3.parquet","140855",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\longitudinal_weights\2025\lgtwgt2025yr4.parquet","74344",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\README.md","2053",".md","excluded","","excluded_outside_lightweight_publication_rule"
"data\analysis_ready\sipp_2018_2023_health_insurance_official_usernote_correction_patch.parquet","245528",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\sipp_2018_2024_person_month_panel.parquet","84733184",".parquet","excluded","","excluded_large_or_raw_format"
"data\analysis_ready\sipp_2018_2025_person_month_panel.parquet","97347506",".parquet","excluded","","excluded_large_or_raw_format"
"data\metadata\concept_crosswalk_initial.csv","12105",".csv","included","data_metadata/metadata/concept_crosswalk_initial.csv","published_data_metadata"
"data\metadata\sipp_2018_2025_panel_variable_inventory.csv","10697",".csv","included","data_metadata/metadata/sipp_2018_2025_panel_variable_inventory.csv","published_data_metadata"
"data\metadata\sipp_2024_2025_schema_diff.csv","782087",".csv","included","data_metadata/metadata/sipp_2024_2025_schema_diff.csv","published_data_metadata"
"data\metadata\sipp_2024_2025_schema_summary.csv","126",".csv","included","data_metadata/metadata/sipp_2024_2025_schema_summary.csv","published_data_metadata"
"data\metadata\sipp_2025_official_download_manifest.csv","9943",".csv","included","data_metadata/metadata/sipp_2025_official_download_manifest.csv","published_data_metadata"
"data\metadata\sipp_2025_response_and_attrition_summary.csv","2242",".csv","included","data_metadata/metadata/sipp_2025_response_and_attrition_summary.csv","published_data_metadata"
"data\metadata\sipp_legacy_official_archive_scope.csv","5113",".csv","included","data_metadata/metadata/sipp_legacy_official_archive_scope.csv","published_data_metadata"
"data\metadata\sipp_legacy_official_file_link_catalog.csv","432776",".csv","included","data_metadata/metadata/sipp_legacy_official_file_link_catalog.csv","published_data_metadata"
"data\metadata\sipp_live_official_channel_reaudit_20260716.csv","131952",".csv","included","data_metadata/metadata/sipp_live_official_channel_reaudit_20260716.csv","published_data_metadata"
"data\metadata\sipp_longitudinal_header_normalization_2019_2025.csv","284249",".csv","included","data_metadata/metadata/sipp_longitudinal_header_normalization_2019_2025.csv","published_data_metadata"
"data\metadata\sipp_longitudinal_product_audit_2019_2025.csv","8418",".csv","included","data_metadata/metadata/sipp_longitudinal_product_audit_2019_2025.csv","published_data_metadata"
"data\metadata\sipp_official_document_provenance_20260716.csv","3495",".csv","included","data_metadata/metadata/sipp_official_document_provenance_20260716.csv","published_data_metadata"
"data\metadata\sipp_official_file_catalog_2018_2025.csv","75961",".csv","included","data_metadata/metadata/sipp_official_file_catalog_2018_2025.csv","published_data_metadata"
"data\metadata\sipp_official_product_matrix_2018_2025.csv","14716",".csv","included","data_metadata/metadata/sipp_official_product_matrix_2018_2025.csv","published_data_metadata"
"data\metadata\sipp_official_technical_document_catalog_20260716.csv","6692",".csv","included","data_metadata/metadata/sipp_official_technical_document_catalog_20260716.csv","published_data_metadata"
"data\metadata\sipp_official_user_notes_inventory_2018_2025.csv","196624",".csv","included","data_metadata/metadata/sipp_official_user_notes_inventory_2018_2025.csv","published_data_metadata"
"data\metadata\sipp_raw_download_manifest_2018_2025.csv","19926",".csv","included","data_metadata/metadata/sipp_raw_download_manifest_2018_2025.csv","published_data_metadata"
"data\metadata\sipp_release_version_ledger_2018_2025.csv","4204",".csv","included","data_metadata/metadata/sipp_release_version_ledger_2018_2025.csv","published_data_metadata"
"data\metadata\sipp_weight_product_use_ledger.csv","2231",".csv","included","data_metadata/metadata/sipp_weight_product_use_ledger.csv","published_data_metadata"
"data\metadata\variable_registry.csv","1146914",".csv","included","data_metadata/metadata/variable_registry.csv","published_data_metadata"
"data\metadata\variable_registry_2018_2025.csv","615075",".csv","included","data_metadata/metadata/variable_registry_2018_2025.csv","published_data_metadata"
"data\metadata\variable_year_availability.csv","4808242",".csv","included","data_metadata/metadata/variable_year_availability.csv","published_data_metadata"
"data\policy\child_ce_pre2024_state_year.csv","34216",".csv","included","data_metadata/policy/child_ce_pre2024_state_year.csv","published_policy_file"
"data\policy\medicaid_expansion_state_month.csv","448657",".csv","included","data_metadata/policy/medicaid_expansion_state_month.csv","published_policy_file"
"data\policy\state_month_policy_regime.csv","590298",".csv","included","data_metadata/policy/state_month_policy_regime.csv","published_policy_file"
"data\sample_audits\panel_build_yearly_counts.csv","1124",".csv","included","data_metadata/sample_audits/panel_build_yearly_counts.csv","published_sample_audit"
"data\sample_audits\panel_build_yearly_counts_2018_2025.csv","1261",".csv","included","data_metadata/sample_audits/panel_build_yearly_counts_2018_2025.csv","published_sample_audit"
"data\sample_audits\selected_variable_missingness.csv","24154",".csv","included","data_metadata/sample_audits/selected_variable_missingness.csv","published_sample_audit"
"data\sample_audits\selected_variable_missingness_2025.csv","3596",".csv","included","data_metadata/sample_audits/selected_variable_missingness_2025.csv","published_sample_audit"
"data\sample_audits\sipp_2018_2025_completion_check.csv","3778",".csv","included","data_metadata/sample_audits/sipp_2018_2025_completion_check.csv","published_sample_audit"
"data\sample_audits\sipp_2018_2025_panel_summary.json","590",".json","included","data_metadata/sample_audits/sipp_2018_2025_panel_summary.json","published_sample_audit"
"data\sample_audits\sipp_all_raw_products_verification.csv","29328",".csv","included","data_metadata/sample_audits/sipp_all_raw_products_verification.csv","published_sample_audit"
"data\sample_audits\sipp_all_versions_completion_checks.csv","2040",".csv","included","data_metadata/sample_audits/sipp_all_versions_completion_checks.csv","published_sample_audit"
"data\sample_audits\sipp_health_insurance_usernote_correction_counts.csv","22506",".csv","included","data_metadata/sample_audits/sipp_health_insurance_usernote_correction_counts.csv","published_sample_audit"
"data\sample_audits\sipp_health_source_panel_alignment.csv","2901",".csv","included","data_metadata/sample_audits/sipp_health_source_panel_alignment.csv","published_sample_audit"
"data\sample_audits\sipp_latest_longitudinal_incomplete_person_years.csv","25326",".csv","included","data_metadata/sample_audits/sipp_latest_longitudinal_incomplete_person_years.csv","published_sample_audit"
"data\sample_audits\sipp_latest_longitudinal_panel_counts.csv","1530",".csv","included","data_metadata/sample_audits/sipp_latest_longitudinal_panel_counts.csv","published_sample_audit"
"data\sample_audits\sipp_panel_alignment_and_health_correction_checks.csv","663",".csv","included","data_metadata/sample_audits/sipp_panel_alignment_and_health_correction_checks.csv","published_sample_audit"
"data\sample_audits\sipp_raw_and_weight_issue_register_20260716.csv","7714",".csv","included","data_metadata/sample_audits/sipp_raw_and_weight_issue_register_20260716.csv","published_sample_audit"
"data\sample_audits\sipp_reaudit_final_checks_20260716.csv","2431",".csv","included","data_metadata/sample_audits/sipp_reaudit_final_checks_20260716.csv","published_sample_audit"
"data\sample_audits\sipp_remote_byte_comparison_20260716.csv","27170",".csv","included","data_metadata/sample_audits/sipp_remote_byte_comparison_20260716.csv","published_sample_audit"
"data\sample_audits\sipp_remote_source_reaudit_checks_20260716.csv","609",".csv","included","data_metadata/sample_audits/sipp_remote_source_reaudit_checks_20260716.csv","published_sample_audit"
"data\sample_audits\sipp_v11_correction_panel_alignment.csv","2543",".csv","included","data_metadata/sample_audits/sipp_v11_correction_panel_alignment.csv","published_sample_audit"
"data\sample_audits\state_variable_availability.csv","238",".csv","included","data_metadata/sample_audits/state_variable_availability.csv","published_sample_audit"
"README.md","6043",".md","included","README.md","published_root_readme"
"report\00_project_readme.md","1778",".md","included","report/00_project_readme.md","published_report_markdown"
"report\01_source_reading_memo.md","3890",".md","included","report/01_source_reading_memo.md","published_report_markdown"
"report\02_metadata_audit.md","1428",".md","included","report/02_metadata_audit.md","published_report_markdown"
"report\03_data_build_audit.md","3122",".md","included","report/03_data_build_audit.md","published_report_markdown"
"report\04_variable_construction_memo.md","1548",".md","included","report/04_variable_construction_memo.md","published_report_markdown"
"report\05_empirical_design_memo.md","1086",".md","included","report/05_empirical_design_memo.md","published_report_markdown"
"report\06_main_results_memo.md","2828",".md","included","report/06_main_results_memo.md","published_report_markdown"
"report\07_causal_ml_audit.md","472",".md","included","report/07_causal_ml_audit.md","published_report_markdown"
"report\08_go_no_go_decision.md","754",".md","included","report/08_go_no_go_decision.md","published_report_markdown"
"report\09_final_research_memo.md","3021",".md","included","report/09_final_research_memo.md","published_report_markdown"
"report\100_family_glitch_current_no_go_decision.md","5111",".md","included","report/100_family_glitch_current_no_go_decision.md","published_report_markdown"
"report\101_sipp_adult_idea_search_evidence_map.md","11986",".md","included","report/101_sipp_adult_idea_search_evidence_map.md","published_report_markdown"
"report\102_goal_completion_audit.md","7519",".md","included","report/102_goal_completion_audit.md","published_report_markdown"
"report\102_sipp_2025_update_and_merge_audit.md","3190",".md","included","report/102_sipp_2025_update_and_merge_audit.md","published_report_markdown"
"report\103_sipp_2018_2025_completion_check.md","2604",".md","included","report/103_sipp_2018_2025_completion_check.md","published_report_markdown"
"report\104_sipp_all_versions_source_and_download_audit.md","3918",".md","included","report/104_sipp_all_versions_source_and_download_audit.md","published_report_markdown"
"report\105_sipp_longitudinal_panels_build_audit.md","3485",".md","included","report/105_sipp_longitudinal_panels_build_audit.md","published_report_markdown"
"report\106_sipp_all_versions_completion_check.md","3545",".md","included","report/106_sipp_all_versions_completion_check.md","published_report_markdown"
"report\107_arpa400_raw_data_quality_sensitivity.md","2980",".md","included","report/107_arpa400_raw_data_quality_sensitivity.md","published_report_markdown"
"report\108_sipp_official_sources_versions_weights_raw_reaudit.md","13849",".md","included","report/108_sipp_official_sources_versions_weights_raw_reaudit.md","published_report_markdown"
"report\109_sipp_raw_data_issue_register.md","5021",".md","included","report/109_sipp_raw_data_issue_register.md","published_report_markdown"
"report\10_new_idea_scan.md","8485",".md","included","report/10_new_idea_scan.md","published_report_markdown"
"report\11_ptc_400fpl_fast_test.md","2786",".md","included","report/11_ptc_400fpl_fast_test.md","published_report_markdown"
"report\12_reinsurance_fast_test.md","2601",".md","included","report/12_reinsurance_fast_test.md","published_report_markdown"
"report\13_new_sipp_idea_recommendation.md","6726",".md","included","report/13_new_sipp_idea_recommendation.md","published_report_markdown"
"report\14_pandemic_ui_early_exit_fast_test.md","4028",".md","included","report/14_pandemic_ui_early_exit_fast_test.md","published_report_markdown"
"report\15_minimum_wage_spillover_fast_test.md","4198",".md","included","report/15_minimum_wage_spillover_fast_test.md","published_report_markdown"
"report\16_second_round_new_idea_synthesis.md","6251",".md","included","report/16_second_round_new_idea_synthesis.md","published_report_markdown"
"report\17_pandemic_ui_person_fe_event_test.md","1631",".md","included","report/17_pandemic_ui_person_fe_event_test.md","published_report_markdown"
"report\18_childless_eitc_fast_test.md","3588",".md","included","report/18_childless_eitc_fast_test.md","published_report_markdown"
"report\19_third_round_direct_id_decision.md","5044",".md","included","report/19_third_round_direct_id_decision.md","published_report_markdown"
"report\20_ptc_premium_intensity_test.md","2994",".md","included","report/20_ptc_premium_intensity_test.md","published_report_markdown"
"report\21_ptc_premium_event_test.md","2185",".md","included","report/21_ptc_premium_event_test.md","published_report_markdown"
"report\22_fourth_round_premium_intensity_decision.md","3663",".md","included","report/22_fourth_round_premium_intensity_decision.md","published_report_markdown"
"report\23_aca_market_governance_fast_test.md","4920",".md","included","report/23_aca_market_governance_fast_test.md","published_report_markdown"
"report\24_no_surprises_act_fast_test.md","4124",".md","included","report/24_no_surprises_act_fast_test.md","published_report_markdown"
"report\25_fifth_round_adult_policy_idea_decision.md","9715",".md","included","report/25_fifth_round_adult_policy_idea_decision.md","published_report_markdown"
"report\26_state_marketplace_subsidy_fast_test.md","4956",".md","included","report/26_state_marketplace_subsidy_fast_test.md","published_report_markdown"
"report\27_sixth_round_state_subsidy_decision.md","7317",".md","included","report/27_sixth_round_state_subsidy_decision.md","published_report_markdown"
"report\28_family_glitch_stldi_fast_test.md","5440",".md","included","report/28_family_glitch_stldi_fast_test.md","published_report_markdown"
"report\29_seventh_round_family_glitch_stldi_decision.md","7986",".md","included","report/29_seventh_round_family_glitch_stldi_decision.md","published_report_markdown"
"report\30_adult_medicaid_dental_fast_test.md","3985",".md","included","report/30_adult_medicaid_dental_fast_test.md","published_report_markdown"
"report\31_eighth_round_adult_dental_decision.md","6997",".md","included","report/31_eighth_round_adult_dental_decision.md","published_report_markdown"
"report\32_paid_sick_leave_fast_test.md","5664",".md","included","report/32_paid_sick_leave_fast_test.md","published_report_markdown"
"report\33_ninth_round_paid_sick_leave_decision.md","7686",".md","included","report/33_ninth_round_paid_sick_leave_decision.md","published_report_markdown"
"report\34_snap_emergency_allotment_fast_test.md","4805",".md","included","report/34_snap_emergency_allotment_fast_test.md","published_report_markdown"
"report\35_tenth_round_snap_ea_decision.md","8441",".md","included","report/35_tenth_round_snap_ea_decision.md","published_report_markdown"
"report\36_snap_ea_household_test.md","3498",".md","included","report/36_snap_ea_household_test.md","published_report_markdown"
"report\37_eleventh_round_snap_ea_household_decision.md","7116",".md","included","report/37_eleventh_round_snap_ea_household_decision.md","published_report_markdown"
"report\38_postpartum_proxy_support_check.md","3427",".md","included","report/38_postpartum_proxy_support_check.md","published_report_markdown"
"report\39_twelfth_round_postpartum_proxy_decision.md","5518",".md","included","report/39_twelfth_round_postpartum_proxy_decision.md","published_report_markdown"
"report\40_pandemic_ui_food_security_test.md","4040",".md","included","report/40_pandemic_ui_food_security_test.md","published_report_markdown"
"report\41_thirteenth_round_ui_food_security_decision.md","6466",".md","included","report/41_thirteenth_round_ui_food_security_decision.md","published_report_markdown"
"report\42_washington_wftc_fast_test.md","3150",".md","included","report/42_washington_wftc_fast_test.md","published_report_markdown"
"report\43_fourteenth_round_washington_wftc_decision.md","6103",".md","included","report/43_fourteenth_round_washington_wftc_decision.md","published_report_markdown"
"report\44_minimum_wage_food_security_test.md","3987",".md","included","report/44_minimum_wage_food_security_test.md","published_report_markdown"
"report\45_fifteenth_round_minimum_wage_food_decision.md","7916",".md","included","report/45_fifteenth_round_minimum_wage_food_decision.md","published_report_markdown"
"report\46_aca_reinsurance_fast_test.md","4442",".md","included","report/46_aca_reinsurance_fast_test.md","published_report_markdown"
"report\47_sixteenth_round_aca_reinsurance_decision.md","7871",".md","included","report/47_sixteenth_round_aca_reinsurance_decision.md","published_report_markdown"
"report\48_arkansas_medicaid_work_requirement_test.md","4964",".md","included","report/48_arkansas_medicaid_work_requirement_test.md","published_report_markdown"
"report\49_seventeenth_round_arkansas_work_requirement_decision.md","5007",".md","included","report/49_seventeenth_round_arkansas_work_requirement_decision.md","published_report_markdown"
"report\50_arpa_400fpl_cliff_diffdisc_test.md","8580",".md","included","report/50_arpa_400fpl_cliff_diffdisc_test.md","published_report_markdown"
"report\51_eighteenth_round_arpa_400fpl_decision.md","8931",".md","included","report/51_eighteenth_round_arpa_400fpl_decision.md","published_report_markdown"
"report\52_arpa_low_income_nonexpansion_test.md","4659",".md","included","report/52_arpa_low_income_nonexpansion_test.md","published_report_markdown"
"report\53_nineteenth_round_arpa_low_income_nonexpansion_decision.md","4797",".md","included","report/53_nineteenth_round_arpa_low_income_nonexpansion_decision.md","published_report_markdown"
"report\54_arpa_400fpl_employer_mechanism_test.md","4724",".md","included","report/54_arpa_400fpl_employer_mechanism_test.md","published_report_markdown"
"report\55_twentieth_round_arpa_400fpl_employer_validation.md","6415",".md","included","report/55_twentieth_round_arpa_400fpl_employer_validation.md","published_report_markdown"
"report\56_arpa_400fpl_rd_diagnostics.md","5652",".md","included","report/56_arpa_400fpl_rd_diagnostics.md","published_report_markdown"
"report\57_twentyfirst_round_arpa_400fpl_diagnostic_decision.md","6759",".md","included","report/57_twentyfirst_round_arpa_400fpl_diagnostic_decision.md","published_report_markdown"
"report\58_arpa_400fpl_premium_gradient_test.md","4480",".md","included","report/58_arpa_400fpl_premium_gradient_test.md","published_report_markdown"
"report\59_twentysecond_round_arpa_400fpl_premium_gradient_decision.md","5763",".md","included","report/59_twentysecond_round_arpa_400fpl_premium_gradient_decision.md","published_report_markdown"
"report\60_late_medicaid_expansion_threshold_test.md","9088",".md","included","report/60_late_medicaid_expansion_threshold_test.md","published_report_markdown"
"report\61_late_medicaid_expansion_robustness.md","2374",".md","included","report/61_late_medicaid_expansion_robustness.md","published_report_markdown"
"report\62_twentythird_round_late_medicaid_expansion_decision.md","8084",".md","included","report/62_twentythird_round_late_medicaid_expansion_decision.md","published_report_markdown"
"report\63_public_charge_immigrant_chilling_test.md","11200",".md","included","report/63_public_charge_immigrant_chilling_test.md","published_report_markdown"
"report\64_twentyfourth_round_public_charge_decision.md","7276",".md","included","report/64_twentyfourth_round_public_charge_decision.md","published_report_markdown"
"report\65_georgia_pathways_work_requirement_test.md","10146",".md","included","report/65_georgia_pathways_work_requirement_test.md","published_report_markdown"
"report\66_twentyfifth_round_georgia_pathways_decision.md","7246",".md","included","report/66_twentyfifth_round_georgia_pathways_decision.md","published_report_markdown"
"report\67_medicare_age65_threshold_test.md","10158",".md","included","report/67_medicare_age65_threshold_test.md","published_report_markdown"
"report\68_twentysixth_round_medicare_age65_decision.md","7388",".md","included","report/68_twentysixth_round_medicare_age65_decision.md","published_report_markdown"
"report\69_ira_insulin_medicare_fast_test.md","3937",".md","included","report/69_ira_insulin_medicare_fast_test.md","published_report_markdown"
"report\70_arpa_ui_marketplace_subsidy_test.md","4175",".md","included","report/70_arpa_ui_marketplace_subsidy_test.md","published_report_markdown"
"report\71_twentyseventh_round_arpa_ui_marketplace_decision.md","6153",".md","included","report/71_twentyseventh_round_arpa_ui_marketplace_decision.md","published_report_markdown"
"report\72_low_income_sep_150fpl_test.md","4688",".md","included","report/72_low_income_sep_150fpl_test.md","published_report_markdown"
"report\73_twentyeighth_round_low_income_sep_decision.md","6753",".md","included","report/73_twentyeighth_round_low_income_sep_decision.md","published_report_markdown"
"report\74_arpa_cobra_subsidy_test.md","6745",".md","included","report/74_arpa_cobra_subsidy_test.md","published_report_markdown"
"report\75_twentyninth_round_arpa_cobra_decision.md","6770",".md","included","report/75_twentyninth_round_arpa_cobra_decision.md","published_report_markdown"
"report\76_family_glitch_premium_burden_test.md","7119",".md","included","report/76_family_glitch_premium_burden_test.md","published_report_markdown"
"report\77_thirtieth_round_family_glitch_premium_decision.md","5647",".md","included","report/77_thirtieth_round_family_glitch_premium_decision.md","published_report_markdown"
"report\78_student_loan_repayment_resumption_test.md","7558",".md","included","report/78_student_loan_repayment_resumption_test.md","published_report_markdown"
"report\79_thirtyfirst_round_student_loan_repayment_decision.md","2899",".md","included","report/79_thirtyfirst_round_student_loan_repayment_decision.md","published_report_markdown"
"report\80_arpa_400fpl_source_decomposition_test.md","12422",".md","included","report/80_arpa_400fpl_source_decomposition_test.md","published_report_markdown"
"report\81_thirtysecond_round_arpa_400fpl_source_decomposition_decision.md","2868",".md","included","report/81_thirtysecond_round_arpa_400fpl_source_decomposition_decision.md","published_report_markdown"
"report\82_arpa_400fpl_robustness_pack.md","11762",".md","included","report/82_arpa_400fpl_robustness_pack.md","published_report_markdown"
"report\83_thirtythird_round_arpa_400fpl_robustness_decision.md","1823",".md","included","report/83_thirtythird_round_arpa_400fpl_robustness_decision.md","published_report_markdown"
"report\84_arpa_400fpl_paper_tables_figures.md","3780",".md","included","report/84_arpa_400fpl_paper_tables_figures.md","published_report_markdown"
"report\85_thirtyfourth_round_arpa_400fpl_paper_readiness.md","1147",".md","included","report/85_thirtyfourth_round_arpa_400fpl_paper_readiness.md","published_report_markdown"
"report\86_arpa_400fpl_consolidated_design_memo.md","9421",".md","included","report/86_arpa_400fpl_consolidated_design_memo.md","published_report_markdown"
"report\87_thirtyfifth_round_arpa_400fpl_consolidated_design_decision.md","2022",".md","included","report/87_thirtyfifth_round_arpa_400fpl_consolidated_design_decision.md","published_report_markdown"
"report\88_arpa_400fpl_source_literature_gap_memo.md","17141",".md","included","report/88_arpa_400fpl_source_literature_gap_memo.md","published_report_markdown"
"report\89_thirtysixth_round_arpa_400fpl_gap_positioning_decision.md","4026",".md","included","report/89_thirtysixth_round_arpa_400fpl_gap_positioning_decision.md","published_report_markdown"
"report\90_arpa_400fpl_specification_lock_and_identification_memo.md","16576",".md","included","report/90_arpa_400fpl_specification_lock_and_identification_memo.md","published_report_markdown"
"report\91_thirtyseventh_round_arpa_400fpl_spec_lock_decision.md","3064",".md","included","report/91_thirtyseventh_round_arpa_400fpl_spec_lock_decision.md","published_report_markdown"
"report\92_arpa_400fpl_paper_section_draft.md","14478",".md","included","report/92_arpa_400fpl_paper_section_draft.md","published_report_markdown"
"report\93_thirtyeighth_round_arpa_400fpl_paper_section_decision.md","1965",".md","included","report/93_thirtyeighth_round_arpa_400fpl_paper_section_decision.md","published_report_markdown"
"report\94_README_FOR_WEB_GPT_ARPA400.md","6027",".md","included","report/94_README_FOR_WEB_GPT_ARPA400.md","published_report_markdown"
"report\95_thirtyninth_round_arpa400_manuscript_export_decision.md","2970",".md","included","report/95_thirtyninth_round_arpa400_manuscript_export_decision.md","published_report_markdown"
"report\96_fortieth_round_arpa400_premium_exposure_extension_status.md","3915",".md","included","report/96_fortieth_round_arpa400_premium_exposure_extension_status.md","published_report_markdown"
"report\97_arpa_100150_nonexpansion_screen.md","5756",".md","included","report/97_arpa_100150_nonexpansion_screen.md","published_report_markdown"
"report\98_fortyfirst_round_arpa_100150_nonexpansion_decision.md","2002",".md","included","report/98_fortyfirst_round_arpa_100150_nonexpansion_decision.md","published_report_markdown"
"report\99_current_sipp_idea_portfolio_ranking.md","5685",".md","included","report/99_current_sipp_idea_portfolio_ranking.md","published_report_markdown"
"report\source_audit.md","3099",".md","included","report/source_audit.md","published_report_markdown"
"result\data_audit\arpa400_health_correction_patch_support.csv","335",".csv","included","result/data_audit/arpa400_health_correction_patch_support.csv","published_lightweight_result"
"result\data_audit\arpa400_health_weight_data_quality_sensitivity.csv","4363",".csv","included","result/data_audit/arpa400_health_weight_data_quality_sensitivity.csv","published_lightweight_result"
"result\diagnostics\required_artifact_check.csv","1521",".csv","included","result/diagnostics/required_artifact_check.csv","published_lightweight_result"
"result\figures\event_study_exit_to_uninsured.png","39454",".png","included","result/figures/event_study_exit_to_uninsured.png","published_lightweight_result"
"result\figures\event_study_medicaid_exit.png","46994",".png","included","result/figures/event_study_medicaid_exit.png","published_lightweight_result"
"result\figures\income_crossing_distribution.png","30621",".png","included","result/figures/income_crossing_distribution.png","published_lightweight_result"
"result\figures\transition_path_decomposition.png","66504",".png","included","result/figures/transition_path_decomposition.png","published_lightweight_result"
"result\figures\uninsured_gap_duration.png","25801",".png","included","result/figures/uninsured_gap_duration.png","published_lightweight_result"
"result\idea_scan\aca_market_governance_leave_one.csv","10833",".csv","included","result/idea_scan/aca_market_governance_leave_one.csv","published_lightweight_result"
"result\idea_scan\aca_market_governance_mandate_estimates.csv","4132",".csv","included","result/idea_scan/aca_market_governance_mandate_estimates.csv","published_lightweight_result"
