outcome,timing,cohort_start,month,event_time,period,att,treated_delta,control_delta,n_treated_states,n_control_states
in_state_answer_rate,operational_start,2023-09-01,2024-03-01,6,post,-0.0035608962864446484,0.006507137605622049,0.010068033892066697,1,46
in_state_answer_rate,operational_start,2023-09-01,2024-04-01,7,post,0.0029900313078402695,0.01566919832167546,0.01267916701383519,1,43
in_state_answer_rate,operational_start,2023-09-01,2024-05-01,8,post,-0.026508512726697374,-0.018240032590395305,0.00826848013630207,1,43
in_state_answer_rate,operational_start,2023-09-01,2024-06-01,9,post,-0.024590502291113557,-0.030224706354863518,-0.005634204063749962,1,43
in_state_answer_rate,operational_start,2023-09-01,2024-07-01,10,post,-0.03283034011973979,-0.04042590467856666,-0.007595564558826872,1,43
in_state_answer_rate,operational_start,2023-09-01,2024-08-01,11,post,-0.014252593090114903,-0.006794463296232567,0.007458129793882335,1,43
in_state_answer_rate,operational_start,2023-09-01,2024-09-01,12,post,0.06546874530123459,0.10041272491891728,0.03494397961768269,1,43
in_state_answer_rate,operational_start,2023-09-01,2024-10-01,13,post,0.06155900412175075,0.08766580283578362,0.02610679871403287,1,43
in_state_answer_rate,operational_start,2023-09-01,2024-11-01,14,post,0.07195149380604772,0.09180086221874906,0.019849368412701338,1,43
in_state_answer_rate,operational_start,2023-09-01,2024-12-01,15,post,0.06982296736617238,0.09885881678531028,0.02903584941913789,1,43
in_state_answer_rate,operational_start,2023-09-01,2025-01-01,16,post,0.06280334088085342,0.0878323092883927,0.02502896840753928,1,42
in_state_answer_rate,operational_start,2023-09-01,2025-03-01,18,post,0.06722024523330897,0.09368306745396571,0.026462822220656736,1,42
in_state_answer_rate,operational_start,2023-09-01,2025-04-01,19,post,0.09247913115871065,0.12183719984722852,0.029358068688517876,1,42
in_state_answer_rate,operational_start,2023-09-01,2025-05-01,20,post,0.0823763656076971,0.10509693747635862,0.022720571868661533,1,42
in_state_answer_rate,operational_start,2023-09-01,2025-06-01,21,post,0.08031809908378551,0.10340888471289555,0.023090785629110037,1,42
in_state_answer_rate,operational_start,2023-09-01,2025-07-01,22,post,0.19100812379563986,0.20221579983710547,0.011207676041465608,1,40
in_state_answer_rate,operational_start,2023-09-01,2025-08-01,23,post,0.2175649759866313,0.2241980866778146,0.0066331106911832974,1,40
in_state_answer_rate,operational_start,2023-09-01,2025-09-01,24,post,0.2127211717928279,0.2195600808309791,0.006838909038151222,1,40
in_state_answer_rate,operational_start,2023-09-01,2025-10-01,25,post,0.1937038645768598,0.21365928016775937,0.019955415590899566,1,39
in_state_answer_rate,operational_start,2023-09-01,2025-11-01,26,post,0.18449775204713925,0.20358273985363806,0.019084987806498813,1,39
in_state_answer_rate,operational_start,2023-09-01,2025-12-01,27,post,0.20342189965676666,0.22287750161415332,0.01945560195738666,1,39
in_state_answer_rate,operational_start,2023-09-01,2026-01-01,28,post,0.1914139794097117,0.20856297901109244,0.017148999601380742,1,39
in_state_answer_rate,operational_start,2023-09-01,2026-02-01,29,post,0.1614655488212367,0.1888089452261722,0.0273433964049355,1,39
in_state_answer_rate,operational_start,2023-09-01,2026-03-01,30,post,0.15232985723357848,0.17812399369870435,0.025794136465125888,1,39
in_state_answer_rate,operational_start,2024-04-01,2023-04-01,-12,pre,0.020458188095464777,0.0041257560077424165,-0.01633243208772236,3,47
in_state_answer_rate,operational_start,2024-04-01,2023-05-01,-11,pre,0.00929769700558793,0.003586783572238702,-0.005710913433349229,3,47
in_state_answer_rate,operational_start,2024-04-01,2023-06-01,-10,pre,0.005561155286221023,0.00088580755518101,-0.004675347731040013,3,47
in_state_answer_rate,operational_start,2024-04-01,2023-07-01,-9,pre,0.01548408684609602,0.009706296048893096,-0.005777790797202926,3,47
in_state_answer_rate,operational_start,2024-04-01,2023-08-01,-8,pre,0.0016082595458478451,-0.008384010595443433,-0.009992270141291278,3,47
in_state_answer_rate,operational_start,2024-04-01,2023-09-01,-7,pre,0.02692125747939078,0.01663126268373727,-0.01028999479565351,3,46
in_state_answer_rate,operational_start,2024-04-01,2023-10-01,-6,pre,-0.015794821426864333,-0.021857749304203183,-0.006062927877338849,3,46
in_state_answer_rate,operational_start,2024-04-01,2023-11-01,-5,pre,-0.01055500806806347,-0.01903159345008909,-0.008476585382025621,3,46
in_state_answer_rate,operational_start,2024-04-01,2023-12-01,-4,pre,-0.04413417198627424,-0.05752933027637641,-0.013395158290102165,3,46
in_state_answer_rate,operational_start,2024-04-01,2024-01-01,-3,pre,-0.00537091958737136,-0.0159665215978602,-0.01059560201048884,3,46
in_state_answer_rate,operational_start,2024-04-01,2024-02-01,-2,pre,0.010560764989584321,0.003219103355895888,-0.0073416616336884335,3,46
in_state_answer_rate,operational_start,2024-04-01,2024-04-01,0,post,0.003328119230529767,0.005821762354859428,0.0024936431243296605,3,43
in_state_answer_rate,operational_start,2024-04-01,2024-05-01,1,post,0.010445424044411074,0.008528380291207616,-0.001917043753203459,3,43
in_state_answer_rate,operational_start,2024-04-01,2024-06-01,2,post,0.030102642220367303,0.014282914267111813,-0.01581972795325549,3,43
in_state_answer_rate,operational_start,2024-04-01,2024-07-01,3,post,0.03467199199733102,0.01689090354899862,-0.0177810884483324,3,43
in_state_answer_rate,operational_start,2024-04-01,2024-08-01,4,post,0.021637185657411004,0.01890979156178781,-0.0027273940956231936,3,43
in_state_answer_rate,operational_start,2024-04-01,2024-09-01,5,post,0.012054225203130091,0.03681268093130726,0.02475845572817717,3,43
in_state_answer_rate,operational_start,2024-04-01,2024-10-01,6,post,0.033651925585936056,0.04957320041046339,0.015921274824527334,3,43
in_state_answer_rate,operational_start,2024-04-01,2024-11-01,7,post,0.037950656823853526,0.04761450134704933,0.009663844523195807,3,43
in_state_answer_rate,operational_start,2024-04-01,2024-12-01,8,post,0.04184937085980881,0.06069969638944117,0.01885032552963236,3,43
in_state_answer_rate,operational_start,2024-04-01,2025-01-01,9,post,0.010081603833611084,0.025291863498667484,0.015210259665056399,3,42
in_state_answer_rate,operational_start,2024-04-01,2025-03-01,11,post,0.009807251765022534,0.026451365243196395,0.01664411347817386,3,42
in_state_answer_rate,operational_start,2024-04-01,2025-04-01,12,post,-0.006269438283995265,0.013269921662039738,0.019539359946035003,3,42
